Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Dominican Republic,DOM,GNI (current US$),NY.GNP.MKTP.CD,72451617086.0795,76204178958.8172,81710378598.263,84775094600.048,..
Ecuador,ECU,GNI (current US$),NY.GNP.MKTP.CD,98125287481.1454,101977714539.117,104732813610.346,104329594919.697,..
"Egypt, Arab Rep.",EGY,GNI (current US$),NY.GNP.MKTP.CD,328426011354.002,230776840790.081,244595990812.098,292150393581.389,..
El Salvador,SLV,GNI (current US$),NY.GNP.MKTP.CD,22945060000,23591580000,24647230000,25716490000,..
Equatorial Guinea,GNQ,GNI (current US$),NY.GNP.MKTP.CD,8709938548.16762,8983531883.80186,10026979628.0621,8329917010.86281,..
Eritrea,ERI,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..
Estonia,EST,GNI (current US$),NY.GNP.MKTP.CD,23457274329.6812,26221707595.7648,30170435339.2157,30737691484.3137,..
Eswatini,SWZ,GNI (current US$),NY.GNP.MKTP.CD,3635531685.92794,4185340308.08922,4314587988.73188,3867330972.51097,..
Ethiopia,ETH,GNI (current US$),NY.GNP.MKTP.CD,74053937524.5784,81285191646.1807,83892033920.3775,95640552203.2353,..
Faroe Islands,FRO,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..
Fiji,FJI,GNI (current US$),NY.GNP.MKTP.CD,4720961856.11305,5027118680.14902,5161041151.67194,5087113497.50046,..
Finland,FIN,GNI (current US$),NY.GNP.MKTP.CD,241827992343.241,255174643503.53,276861794323.921,268153326705.882,..
France,FRA,GNI (current US$),NY.GNP.MKTP.CD,2523562336756.09,2654458177281.18,2841459217403.92,2768039540329.41,..
French Polynesia,PYF,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..
Gabon,GAB,GNI (current US$),NY.GNP.MKTP.CD,12934875312.3494,13985729747.5427,15754972352.1527,15511134184.6295,..
"Gambia, The",GMB,GNI (current US$),NY.GNP.MKTP.CD,1442454490.04052,1469874440.70693,1595548405.82705,1733819047.69838,..
Georgia,GEO,GNI (current US$),NY.GNP.MKTP.CD,14440358558.3302,15447216935.6446,16915100074.9773,17039195770.1998,..
Germany,DEU,GNI (current US$),NY.GNP.MKTP.CD,3552144049181.61,3759608327004.71,4060012956890.98,3957758836674.5,..
Ghana,GHA,GNI (current US$),NY.GNP.MKTP.CD,53961581129.4695,57431697460.0621,64270236560.3123,65527306782.7153,..
Gibraltar,GIB,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..
Greece,GRC,GNI (current US$),NY.GNP.MKTP.CD,195229696549.68,203984164482.911,216983451801.173,209531689736.694,..
Greenland,GRL,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..
Grenada,GRD,GNI (current US$),NY.GNP.MKTP.CD,964566111.111111,1021180333.33333,1057492185.18519,1111581888.88889,..
Guam,GUM,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..
Guatemala,GTM,GNI (current US$),NY.GNP.MKTP.CD,64628417703.6211,70111244439.2388,71598354208.8254,75435385741.6165,..
Guinea,GIN,GNI (current US$),NY.GNP.MKTP.CD,8501447259.7726,10285634798.7593,11521116729.0778,12819281808.6928,..
Guinea-Bissau,GNB,GNI (current US$),NY.GNP.MKTP.CD,1207921291.13898,1349590591.11698,1456101700.89927,1437316650.98548,..
